ID,Spans,Cashtag,Sentiment Score,Predicted Sentiment Score
9982140,moving up again,$gsk,0.12,0.8685497641563416
8980267,$ea points to the two facebook games,$ea,0.048,0.9996530413627625
6521056,ready to exit bankruptcy,$lee,0.298,0.9906958937644958
6192243,starting to creep up,$vxx,0.28,0.6146166324615479
34063135,looks like bo coming,$abt,0.36,0.9963269233703613
9544472,2m this year would be amazing,$aapl,0.151,0.9537486433982849
29695868,moved upper bollinger band,$sgms,0.498,0.9999872446060181
711745824884187136,$gogo short,$gogo,-0.318,-0.6916777491569519
709840317701165057,eu getting closer to charging google over android,$googl,-0.319,-0.6642691493034363
719563779378438144,supermarket stocks rally as tesco plans to axe non-core uk assets,$mrw,0.346,0.9999992847442627
19639364,china winners,$qunr,0.452,0.995722234249115
35260630,looks like an ascending channel,$cytx,0.363,0.9991087913513184
5918384,patience on the buy precedes patience on the sell,$spy,0.0,-0.4413295090198517
710211237058093056,oil to break out,$erx,0.666,0.987326979637146
24386175,brand name is to big for it to fail,$app,0.226,0.9974938631057739
710965451677827073,top #netpayoutyields,$aal,0.426,0.999329686164856
9969988,long $amzn oct $240 calls,$amzn,0.628,0.9997601509094238
719913633858211840,under pressure along with the market,$agn,0.014,0.9986365437507629
13877899,patience pays off,$srpt,0.272,0.9910014867782593
23569140,stock splits are lipstick on a pig!,$ino,-0.347,-0.5216363668441772
5509476,making new highs for the year,$uty,0.53,0.9983164072036743
34273656,held up well after the big gains!,$nuan,0.695,0.9978569746017456
16373691,wait and see before taking any action,$dg,0.0,-0.3773871064186096
6139459,markets are still acting weak,$xlf,-0.443,-0.7684926986694336
36124809,breaking below support,$ryl,-0.397,0.7532288432121277
719614857704640512,sold 20% of our concentrated stake,$googl,-0.344,-0.38291364908218384
8820362,want to go this morning,$gdx,0.28,0.9969774484634399
719519136318169088,cracking lower early,$short,-0.511,-0.7207954525947571
719540388055220224,$fb & $ibb down,$fb,-0.527,-0.00924646109342575
719599977480253440,higher in afternoon trade,$aa,0.243,0.9957802295684814
710211237058093056,oil to break out,$ibm,0.666,0.987326979637146
39024678,added $sso 64.33,$sso,0.626,0.9980869889259338
709408054777749505,$fb $112 calls .55 entry,$fb,0.509,0.9913902282714844
5884846,is tiffany's overvalued,$tif,-0.25,-0.4833003878593445
719529794262708224,$intc & $aapl strong,$aapl,0.722,0.988307535648346
5693883,after crunching #'s,$idcc,0.477,0.9720153212547302
719720776027353088,biggest gainers today large caps,$bap,0.556,0.9999241232872009
719707515148050432,$aapl a new long if 110.61 is broke,$aapl,0.379,0.999332845211029
719549571924422656,added to our $gild position,$gild,0.422,0.9999916553497314
31143613,largest online gaming market,$dsky,0.226,0.9990257024765015
5699115,,$chk,-0.541,0.6807000637054443
719699054645612544,bottom losses,$ms,-0.659,-0.6587575674057007
5879099,stopped out even from yesterdays entry,$wnr,-0.413,-0.6435454487800598
33087415,micron shares pounded on fears of loss of business from apple,$mu,-0.596,0.3214534819126129
719593062406598656,closed buy,$tsla,0.466,0.9989072680473328
719533807897047040,over 225 million new internet users are being added globally every year,$fb,0.337,0.9999986290931702
12018290,$uvxy broke 10.00 amazing!!!,$uvxy,0.265,0.9985558986663818
6751172,long leaps,$aapl,0.438,0.9996051788330078
29835080,looks like that support line around 24.90 held,$dgaz,0.331,0.9999056458473206
5499580,retreats like clockwork,$spy,-0.488,-0.4785556495189667
719612962013634560,,$aapl,0.0,0.6807000637054443
16142438,its time to sell banks,$jpm,-0.763,-0.7728790044784546
709286017027563520,upgrades to outperform,$tsla,0.61,0.9999485015869141
711907079296933888,unusual call buying,$wy,0.336,0.9999939799308777
10042291,holding strong,$ba,0.192,0.99986332654953
20655340,three of my hot stocks today,$gmed,0.461,0.9985239505767822
719719304921350144,bulls are out,$csx,0.323,0.9894652366638184
709930645493919745,patents system,$amzn,0.271,0.9834824800491333
710822084579086336,markets back in black for 2016,$tna,0.271,0.9972488880157471
711707719674273792,the losers buying $tsla at these levels,$tsla,-0.545,-0.6938827633857727
709398139195641856,adding $expe and $pcln to the mix soon,$pcln,0.554,0.9999797344207764
719652260322476032,today's losers,$htz,-0.317,-0.6845529079437256
719583306640191488,not feel terribly good,$tsla,-0.126,-0.2717251181602478
709787692263940098,$spy up only 0.6%,$spy,0.228,0.9925460815429688
719904304207962112,record number of passengers served in 2015,$ha,0.638,0.9999879598617554
33542411,while we think $tnh is a winner,$tnh,0.415,0.9981918931007385
5988258,reiterated 'outperform' rating,$brcm,0.694,0.9986365437507629
26057981,airplanes are still flying,$dal,0.262,0.9892736077308655
719529504914280448,$mtd $341 from $325,$mtd,0.362,0.9978604912757874
5664221,bond buying is signaling some bad moves for the market,$uup,-0.361,-0.3587616980075836
17316092,i see more downside in next two weeks,$tsla,-0.477,-0.5779548287391663
6183420,has just about run its course,$tap,-0.449,-0.23862691223621368
709834259687710720,biggest market losers,$nviv,-0.438,-0.7855315804481506
8874880,loaded up on $bsx yesterday,$bsx,0.664,0.9957999587059021
719544293606735872,notable gainers among liquid option names this morning,$gme,0.513,0.9999910593032837
719864087132442624,gevo’s alcohol to jet fuel now eligible to be used for commercial flight,$aal,0.026,0.9999938607215881
719529163686850560,5-star analyst @brianwieser from pivotal research upgraded rating on $googl to buy,$googl,0.561,0.9999814033508301
6224926,santa rally,$spy,0.22,0.9986053705215454
709410816626454529,iphone 6s is still better than galaxy s7,$aapl,0.385,0.9987120032310486
15971881,didn't factor in anything other than google and repeated good earnings,$himx,0.102,0.9994465708732605
719736621025726464,facebook is succeeding where google should have dominated,$fb,0.531,0.9991931319236755
719555610497273856,$uco +4.44%,$uco,0.442,0.9964946508407593
31675138,up on day and will continue a surge next week.,$fxcm,0.509,0.9988823533058167
719616043023523840,facebook stock is now +$72,$fb,0.272,0.9986335635185242
8873647,ripe for a squeeze again,$sbux,-0.216,-0.6248990893363953
709834259687710720,biggest market losers,$blcm,-0.438,-0.7855315804481506
719634125154492416,with personal story sharing declining,$fb,-0.393,-0.7603409886360168
709661218131283968,upgrades,$amat,0.334,0.9937545657157898
31858971,saying this is a peak = fear mongering,$aapl,0.329,0.998404324054718
709731726726193152,the most trending,$sppi,0.216,0.9889526963233948
710187873492983809,who won't pay anymore,$vrx,-0.349,-0.7207595705986023
719600198956294144,still they are saying bullish lol,$tsla,-0.038,-0.21681629121303558
13796141,today's bull flag,$ivc,0.2,0.9791803956031799
22958505,growth rate of approximately 122.0% to 124.9%.,$vips,0.305,0.9999895691871643
23526008,lots of nice setups in energy ,$crzo,0.293,0.9993250966072083
719619301754273792,bad governance,$baba,-0.331,-0.48799389600753784
719547552874512384,airplane and hospitality industries set their sights on #cuba,$va,0.405,0.9999805092811584
719717064785551360,landed in $ea,$ea,0.422,0.996528685092926
5948586,bought $skf as a hedge,$skf,0.466,0.99513179063797
5985013,transports always lead the way,$iyt,0.594,0.9999505281448364
10181529,here is no case here,$bac,0.18,0.971504271030426
16681249,$joe getting attention. no.2 on nyse 100 top buying list,$joe,0.788,0.9999906420707703
709779449663721472,short setups looking nice....really nice,$etfc,-0.464,-0.21919786930084229
11738018,highest close since,$velt,0.387,0.9368916153907776
11143190,should bring $spx down into the close.,$spx,-0.462,-0.31982770562171936
12548965,,$bbry,0.295,0.6807000637054443
719900384291065856,money flow & stochastic dropping,$aapl,-0.577,-0.795205295085907
14611561,9% run for this watch list winner,$fas,0.066,0.9999971985816956
710843355966652416,have had 2 wks of fund inflows for the first time,$celg,0.58,0.9952540397644043
31971935,$goog $googl would suck,$goog,-0.404,-0.5184977650642395
711113383341199360,ses warrants to buy $1.17b & 14.97% of amerisourcebergen(pbr16) shares,$wba,0.301,0.9998458623886108
710483460863991808,not every idea $amzn has is bad.,$amzn,0.235,0.9894479513168335
6598629,looks primed,$eght,0.4,0.9880233407020569
719478441544925184,yahoo extends bidding deadline as interest grows,$yhoo,0.613,0.9999783039093018
36285752,good news for domestic automakers,$f,0.413,0.9988965392112732
27080546,mrkt needs to washout,$twtr,-0.055,-0.6265935301780701
719874748503736320,valuation is high,$sbux,-0.355,-0.3243008255958557
719544764723499008,$wfm dropping below $30 again,$wfm,-0.499,-0.2192082703113556
719507659741872128,$htz,$htz,-0.341,-0.3320426344871521
719649153471660032,recall adds to reliability issues,$tsla,-0.267,-0.44885528087615967
8534262,i'm out,$yelp,-0.14,-0.11099672317504883
38897055,think i may just start to avoid bios,$cytx,-0.23,-0.18972072005271912
719577031227404288,lvmh affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers,$el,0.45,0.9997326731681824
14249400,no crying you get out,$ddd,-0.462,-0.51385498046875
719915488558493696,trying to break daily trend line!,$pcln,0.485,0.9999106526374817
6370584,went long on this,$cog,0.449,0.9966256618499756
29324975,"if bulls lucky enuff to get an upside gap fill, better take it",$hal,0.054,0.9999634027481079
14003238,wouldn't call any of these banks h+s quite yet,$jpm,0.335,0.9996336698532104
5888204,banks to implode,$gld,-0.298,-0.4652162790298462
23970758,new recommendation from carl kirst of bmo capital markets,$wmb,0.566,0.9999940395355225
719524447514963968,near a buy point last week,$nflx,0.102,0.9866918921470642
719825008327954432,pc shipments drop to lowest level since 2007,$hpq,-0.452,-0.5934743881225586
14018712,momentum building for breakout trigger,$pkt,0.592,0.9999938607215881
8335537,consistent gains but small,$spy,0.219,0.9997621774673462
9353010,$aapl cult on stocktwits is actually disgusting,$aapl,-0.151,-0.7094442844390869
719599977480253440,higher in afternoon trade,$ua,0.243,0.9957802295684814
708355634857529344,sector stocks leading today,$avgo,0.454,0.999073326587677
710557981625036800,$adbe flying,$adbe,0.361,0.9981052875518799
719596702924152832,"tesla to recall 2,700 model x suvs over seat issue",$tsla,-0.31,-0.6334877610206604
16660347,back in,$aapl,0.383,0.7883551716804504
29932186,us adds 321k jobs in november,$gdxj,0.243,0.9999783635139465
719913633858211840,under pressure along with the market,$pypl,0.014,0.9986365437507629
10573348,cash & cheap financing is fueling a wave of acquisitions,$kyak,0.39,0.9996903538703918
710193993833975809,worst #sentiment for #sp1500 #stocks at market close,$xec,-0.479,-0.39241307973861694
19129771,gold going parabolic,$spy,0.442,0.9924917817115784
34511802,i would take profits if you have them,$uvxy,-0.244,-0.5330744981765747
719609334469148672,never widen your stop to stay in a trade,$nflx,-0.412,-0.31652939319610596
14061640,slips alongside shares on nsa leak news,$bah,-0.198,-0.37352004647254944
719523482736988160,best outperformers ranked,$imbby,0.492,0.9999368190765381
719590747876384768,$googl is setting up above its 50-day moving average,$googl,0.696,0.9928074479103088
12110894,weakest sector this year,$xlb,-0.458,-0.16634154319763184
719571314495856640,"tesla is recalling 2,700 model x cars",$tsla,-0.291,-0.286154568195343
709777793798656000,unusual call activity,$mjn,0.421,0.9999945759773254
719937689672220672,wish had my puts bac,$tsla,-0.485,-0.5660833716392517
35595680,see if they maintain 15% yield,$uco,0.078,0.9982789754867554
16376874,look at all the shorts running for cover,$spy,0.375,0.9950201511383057
30798032,"as with all 3x etfs, it is subject to decay due to daily rebalancin",$gasl,-0.234,-0.5113059878349304
21487028,signs of life are emerging :),$lulu,0.27,0.9991496205329895
710822084579086336,markets back in black for 2016,$sds,0.271,0.9972488880157471
7282427,i rather be neutral to bullish rather than bearish,$spy,0.185,0.9975911974906921
30769878,diversifies. adds international exposure,$ua,0.219,0.9888108968734741
7607512,out $aapl,$aapl,-0.27,-0.06291234493255615
5984355,capped,$dia,-0.172,-0.3873576521873474
7957687,long on,$orex,0.185,0.9985287189483643
719579550842167296,$googl patents turn signal detector for autonomous cars.,$googl,0.241,0.9999443888664246
710235175351820288,moves up a little more today off of cup and handle,$aapl,0.306,0.9994232058525085
719889484771389440,makes less profit than the sales of $aapl watch,$fb,-0.641,-0.09567949920892715
5339568,comparable store sales -4%,$gps,-0.441,-0.5493929982185364
16092592,making higher highs & higher lows as it consolidates over past several weeks,$dxcm,0.478,0.9999892711639404
24504842,looking to add a gold miner and possibly lower pe tech name into close,$nem,0.425,0.9999392628669739
7031131,sold at 139.26 and flat,$bidu,-0.695,-0.6814305782318115
719648664193527808,suddenly realizing,$fb,-0.147,-0.4261648952960968
709389876295110656,long,$labu,0.488,0.9985287189483643
709411365299982336,$fit and $sune have not changed.,$fit,-0.179,-0.31171727180480957
719528014334308352,"$nugt fucking beast mode, kicking shirts in the nugt pouch",$nugt,0.665,0.9999353289604187
36370880,my hospital reits are slaughtered,$tlt,-0.399,-0.5225622653961182
32753996,i want to cry,$kndi,-0.595,-0.13955365121364594
38895736,3 top japan etfs to surge higher in 2h,$dfj,0.456,0.9999896883964539
30419243,new bullish conversation activity,$bkep,0.461,0.9999549388885498
719699054645612544,bottom losses,$wldn,-0.411,-0.6587575674057007
30667508,"just follow the trend, follow the money flow",$ung,0.165,0.999133288860321
708351849796083712,short squeeze ready to upside w crossing important technical level,$save,0.219,0.9998571872711182
719578962985381888,i'll take the other side of that trade,$agn,0.422,0.999903678894043
20522452,i love this stock/co,$plug,-0.125,-0.126397967338562
7890419,no choice but to be positve,$arna,0.323,0.9971585869789124
719558876123766784,word on the street is that allergen is looking at endo international,$endp,0.472,0.9998037219047546
709499794910109696,buy $wynn,$wynn,0.489,0.9923194646835327
14262688,$tsla hype the news,$tsla,-0.073,0.15922652184963226
9077839,three black crows followed by a potential bear flag,$pnra,-0.569,-0.34176331758499146
719891468173844480,looking for a strong bounce,$aa,0.46,0.9978443384170532
719599233280512000,trails $msft $orcl $goog $crm $adbe,$adbe,0.177,0.9999418258666992
17875968,stay with best of breed,$hig,0.417,0.9994667172431946
719535506980265984,nice day rally!,$agn,0.529,0.997545063495636
711720585143967744,orgetting the potential relative value of its users,$twtr,0.316,0.9998884201049805
719528610630082560,looking goo for 35.80s break out. it must hold 35.40s,$stx,0.307,0.9999879598617554
36991184,usio ops are profitable,$clf,-0.362,-0.25080204010009766
5713736,bot $gmcr 75 nov call,$gmcr,0.614,0.9999693632125854
719680445550587904,reasons for caution about chinese stocks,$baba,-0.317,-0.38400590419769287
708396324710785024,outperforms,$fit,0.525,0.9822750687599182
13534209,earish trader bets $550k that stock will sell off,$ba,-0.493,-0.6776387095451355
14850402,congrats shorts,$qihu,-0.494,-0.47302213311195374
21382309,downbeaten stocks may be ripe for buys,$cree,0.316,0.9999823570251465
18479024,picked some up,$dnn,0.653,0.9874993562698364
5679790,worst performers today,$io,-0.351,-0.055542804300785065
710094676188127232,nt done good with that name so will pass it,$googl,-0.319,-0.4335673451423645
10421113,its been nothing but down,$arna,-0.43,0.06227374076843262
39047668,bullish ma crossovers,$pds,0.457,0.9992923140525818
36710496,player onto the 211 puts,$spy,-0.652,-0.743794858455658
15108978,someone wants in,$mnkd,0.29,0.961897075176239
5561391,$pcln back over 'up' trendline,$pcln,0.308,0.9653464555740356
28165236,found some good bull setups this week,$echo,0.448,0.9982895851135254
13865641,is just humming easing overbought,$lvs,-0.404,-0.8015061616897583
30667508,"just follow the trend, follow the money flow",$dgaz,0.165,0.999133288860321
7810443,is up 19%,$plx,0.128,0.7770806550979614
708355634857529344,sector stocks leading today,$lm,0.454,0.999073326587677
13024560,"ron johnson tried, and failed, to inject a bit of apple culture into jc penney",$jcp,-0.335,-0.5493196249008179
13703137,not the prettiest candlesticks,$gmcr,0.0,-0.5586726069450378
11156682,agree risky watching very closely,$sina,-0.375,-0.602878212928772
33097782,breakout from the consolidation zone,$fb,0.724,0.9998838305473328
719582195468398592,took small posistion on $tsla,$tsla,-0.114,-0.46042487025260925
719554180172500992,flop would just get everyone running to the fences.,$srpt,-0.546,-0.33292168378829956
709777793798656000,unusual call activity,$lvs,0.421,0.9999945759773254
710193993833975809,worst #sentiment for #sp1500 #stocks at market close,$isrg,-0.479,-0.39241307973861694
27109636,new squeeze plays,$pcrx,-0.339,-0.34297505021095276
26160853,people are calling it bearish,$spy,-0.148,-0.6512658596038818
719857924017885184,long $sq,$sq,0.325,0.999506950378418
14736590,fader play here,$cmg,-0.219,-0.1699690818786621
6061294,all sectors improved in bullish breadth.,$xlu,0.647,0.998877763748169
708410688230842368,top-rated,$dhr,0.428,0.9959203600883484
39047349,stochastic overbought,$blrx,-0.516,-0.8517324328422546
709776718026768385,china february retail sales: e-commerce remains resilient,$tcehy,0.383,0.9999470710754395
709776718026768385,china february retail sales: e-commerce remains resilient,$lb,0.383,0.9999470710754395
13279906,large cap tech is finally trying to catch up with the rest of the market,$goog,0.373,0.9999458193778992
