,company,id,sentiment,title,Predicted Sentiment Score
77,Johnston Press,79,0.155,Indy future in doubt as Johnston Press lines up deal for 'i',0.9999309182167053
78,Desano,80,0.277,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,0.999960720539093
79,BHP Billiton,81,0.082,"BHP Billiton half-year profit falls, beats forecasts",0.9997571110725403
80,Royal Dutch Shell,82,0.259,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,0.9999638795852661
81,Barclays,83,-0.25,Barclays to speed up cost-cuts after new mis-selling hit,-0.37169742584228516
82,UBI,84,0.133,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",0.9998334646224976
83,HSBC,85,-0.594,HSBC Hit by Fresh Details of Tax Evasion Claims,-0.5556631684303284
84,BPI,86,-0.092,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",-0.26804226636886597
85,BPI,87,0.221,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",0.9997288584709167
86,Wolseley,88,-0.087,Wolseley says Nicholls won't join as finance chief,-0.3565918207168579
87,Royal Mail,89,-0.164,UK lawmakers warn Royal Mail against further price hikes,-0.534309446811676
88,Standard Chartered PLC,90,-0.39,StanChart and RBS struggle in Bank of England stress tests,-0.2872123122215271
89,Standard Chartered PLC,91,-0.155,StanChart may see white knight takeover on painful recovery - CLSA,-0.28244784474372864
90,AstraZeneca,92,-0.392,AstraZeneca suffers setback after drug fails to treat eye cancer,-0.37336310744285583
91,AstraZeneca,93,-0.666,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,0.4952985644340515
92,Kingfisher,94,0.368,Retail giant Kingfisher reports 'solid' start to the year,0.9998841285705566
93,Unilever,95,-0.264,Unilever Continues to Battle Soft Demand,-0.16406525671482086
94,Frensillo Production,96,0.21,Fresnillo Production Surges But Profit Hit By Lower Prices,0.9996517896652222
95,BG,97,0.05,Helge Lund moves to BG a month early,0.9999583959579468
96,Kipa,98,-0.192,"Tesco set to sell Kipa, Giraffe businesses - Sky News",0.5218612551689148
97,Royal Bank of Scotland Group plc,99,-0.383,"RBS warns of higher misconduct charges, obstacles ahead",-0.2526856064796448
98,DBS,100,0.307,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",0.999923050403595
99,Standard Life,101,-0.407,Standard Life slips as Greek worries peg back Britain's FTSE,-0.24380695819854736
100,Glencore,102,0.466,Glencore sells agri unit stake for $2.5 billion to Canadian pension fund,0.9999140501022339
101,Royal Bank of Scotland Group plc,103,-0.285,FCA bans former RBS Libor submitter,-0.3289386034011841
102,SABMiller,104,0.127,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,0.506752610206604
103,Standard Chartered PLC,105,-0.158,Standard Chartered Not Raising Capital Yet As Dividend Cut,-0.3023827373981476
104,Tesco PLC,106,0.23,"Tesco set to sell Kipa, Giraffe businesses - Sky News",0.5218612551689148
105,United Utilities,107,0.42,United Utilities FY profit up 3.5%; to boost capex,0.9998939037322998
106,Tesco PLC,108,-0.518,Sale of Tesco's Clubcard business to WPP on the verge of collapse,-0.2683270573616028
107,RBS,109,-0.3,UK's Osborne may sell state-owned RBS shares at a loss -paper,-0.5572943091392517
108,Tesco PLC,110,0.378,Tesco Sale Is Asia's Biggest Private-Equity Deal,0.999792754650116
109,Wolseley,111,0.287,Industry NewsWolseley confident in reslilience amid mixed markets,0.999911904335022
110,Nikkei,112,0.262,Japan's Nikkei lands Financial Times in $1.3 billion deal,0.9997400641441345
111,Royal Mail,113,0.0,UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG,0.9997976422309875
112,BAT,114,0.461,UK regulators license BAT e-cigarette as quit-smoking medicine,0.9999439716339111
113,Aviva plc,115,-0.782,"Aviva, M&G suspend property funds as investors panic",-0.4156712293624878
114,British American Tobacco plc,116,-0.528,British American Tobacco drops and sues PwC over pollution scandal,-0.37495601177215576
115,Aberdeen Asset Management,117,-0.434,Aberdeen's shares slide as net outflows accelerate,-0.523004412651062
116,Hikma,118,0.452,REFILE-Hikma and Barclays help Britain's FTSE to climb higher,0.9999554753303528
117,Britvic,119,-0.13,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",-0.5144595503807068
118,Standard Chartered PLC,120,0.167,Standard Chartered share price: Aberdeen CEO would back potential capital increase,0.9999614357948303
119,Severn Trent,121,0.433,Severn Trent share price jumps as Canadian investor renews pursuit of utility,0.9998665452003479
120,London Stock Exchange Group,122,-0.347,France raises concerns over proposed LSE-Deutsche Boerse deal,-0.19566482305526733
121,Brunzl,123,-0.335,Bunzl blames weakness in United States for first-half revenue slowdown,-0.2501853108406067
122,Tesco PLC,124,-0.498,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,-0.6136903762817383
123,Barclays,125,0.0,Tushar Morzaria is bookies' favourite to be new Barclays chief executive,0.999928891658783
124,G4S,126,0.303,CompaniesG4S claims 'positive' start to the year,0.9996345043182373
125,Halliburton,127,-0.042,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.4917878210544586
126,BAE Systems,128,0.905,Shares in BAE Systems hit 10-month high on rating upgrade,0.9997394680976868
127,Alior Bank,129,0.233,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,0.9998011589050293
128,Shell,130,0.0,Royal Dutch Shell plc: Shell Updates on Alaska Exploration,0.997643232345581
129,Diageo,131,-0.521,City spirits sink after Diageo comes up short with sales slide,-0.21626016497612
130,Tesco PLC,132,0.35,Tesco sales recover as focus returns to core business,0.9998306035995483
131,London Stock Exchange Group,133,0.144,London Stock Exchange unit in talks to operate Plato venue,0.999346911907196
132,IBM,134,0.345,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,0.9999274015426636
133,GSK,135,0.294,GSK joins China trade push as UK trumpets healthcare deals,0.9999033212661743
134,Barclays,136,0.0,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",0.9990178346633911
135,HSBC,137,0.0,HSBC marks muted 150th birthday party with grain of rice sculptures,0.9999323487281799
136,Barclays,138,0.036,Barclays appoints JPMorgan's Paul Compton as new COO,0.9999696612358093
137,Standard Chartered PLC,139,0.989,Standard Chartered Shares Jump Most Since '12 After Upgrades,0.9998790621757507
138,Shell,140,-0.231,Italy Probes Shell's Role in Purchase of Nigerian Oil Block,-0.5045104622840881
139,Shropshire,141,-0.4,Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers,-0.30627351999282837
140,Aviva plc,142,0.138,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,0.9998424053192139
141,Randgold Resources,143,-0.052,Randgold profit hit by poor gold price but dividend still increases,-0.2553306221961975
142,AstraZeneca,144,0.365,AstraZeneca does US$770mln anaesthetic deal,0.9997699856758118
143,AB InBev,145,-0.369,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,0.506752610206604
144,ITV,146,0.611,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,0.999769926071167
145,Diageo,147,0.182,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,0.9999393820762634
146,Pearson,148,-0.664,Pearson to cut 4000 jobs as it warns on profits,-0.19807901978492737
147,Takeda,149,-0.198,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",-0.14389388263225555
148,London Stock Exchange Group,150,0.105,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,0.999913215637207
149,Intertek Group,151,-0.391,"Intertek Hit By Pound Strength, Oil & Gas Slowdown; Still Ups Dividend",-0.276511013507843
150,Tesco PLC,152,0.213,Tesco says recovery plan working after profit collapse,0.9991008043289185
151,BP,153,0.208,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,0.9999573826789856
152,Shell,154,0.0,Shell and BG Shareholders to Vote on Deal at End of January,0.9997864365577698
153,Starwood,155,0.145,"Intercontinental Hotels, Starwood held early deal talks - FT",0.9998629689216614
154,Berkshire Hathaway,156,0.481,Warren Buffett's Berkshire Hathaway buys stake in Apple,0.9999579787254333
155,Baxalta,157,0.343,Sunday Papers: Shire told to raise its offer by Baxalta investors,0.9998264908790588
156,Barratt,158,0.558,"Britain's FTSE bounces back, Mondi and Barratt lead",0.9999071359634399
157,Glencore,159,-0.37,Glencore slashes 2015 capex budget as annual profits slip 2%,-0.3721901476383209
158,AB InBev,160,0.123,Anheuser-Busch InBev Increases Offer for Rival SABMiller,0.9998622536659241
159,Home Retail Group,161,0.0,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,0.9998872876167297
160,Barclays,162,0.212,"UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case",0.9998271465301514
161,Barclays,163,-0.34,MarketsUS industrials lag as Barclays dims view,-0.3627169132232666
162,RSA Insurance,164,0.376,Zurich Insurance Considering Offer for UK Rival RSA Insurance,0.9999558925628662
163,Mylan,165,-0.86,US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline,-0.5232547521591187
164,AstraZeneca,166,0.335,AstraZeneca sells US gout drug rights to Ironwood for up to $265 million,0.9998918771743774
165,Shell,167,0.057,"Shell, Chevron Await LNG's Return From `Pause Mode'",0.9999609589576721
166,London Stock Exchange Group,168,-0.199,Companies raise less money on London Stock Exchange in 2015,-0.347427636384964
167,BG Group,169,0.0,Shell and BG Shareholders to Vote on Deal at End of January,0.9997864365577698
168,Glencore,170,0.407,Glencore shares rally after miner hits back,0.9998834133148193
169,ABN Amro,171,0.353,ABN Amro: Bank that brought down RBS poised for return to the market,0.9998753070831299
170,AT&T,172,-0.447,Verizon and AT&T accused of hurting rivals,-0.45454397797584534
171,ARM Holdings plc,173,0.549,ARM swings to profit in fourth quarter,0.9987744092941284
172,Johnson Matthey,174,0.0,Johnson Matthey profit falls but dividend rises,0.9950015544891357
173,Auto Trader,175,0.655,Auto Trader share price surges as company floats on LSE,0.99971604347229
174,Hillshire Farms,176,0.1,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,0.9999476671218872
175,Hargreaves Lansdown,177,-0.464,Hargreaves Landown slides on trading update,-0.22267043590545654
176,Asda,178,-0.226,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.39708614349365234
177,WPP,179,0.555,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",0.9999412894248962
178,BG Group,180,0.566,Shell Targets Gains From Brazil to LNG With Takeover of BG Group,0.9999306797981262
179,Barclays,181,-0.84,Four former Barclays bankers jailed over Libor,-0.36399421095848083
180,Tesco,182,-0.623,Tesco Cut to Junk at Moody's on Concern Revival to Take Time,-0.5112559795379639
181,Glencore,183,0.193,LPC-Glencore launches refinancing of $8.45billion loan,0.999977171421051
182,Ashtead,184,0.514,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0.999946653842926
183,EasyJet,185,0.147,Easyjet targets business travellers with new perks,0.9998685717582703
184,BP,186,0.24,BP joins forces with Det Norske in Norway,0.9998751282691956
185,Baxalta,187,0.269,Shire proposes $30 bln all-share tie-up with Baxalta,0.9999247193336487
186,Tesco PLC,188,0.256,Tesco sales rise shows tentative recovery continues,0.9993181824684143
187,Valeant Pharmaceuticals International,189,0.0,Valeant Names Interim Leader as CEO Remains Hospitalized,0.9999621510505676
188,AstraZeneca,190,0.284,AstraZeneca weighing up Acerta bid to secure blood cancer drug,0.9999374151229858
189,BP,191,-0.16,BP asks for lower fine in penalty phase of Gulf spill trial,-0.5045111775398254
190,Shire,192,0.487,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,0.9998927712440491
191,Berkshire Hathaway Inc.,193,0.156,"Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited",0.9999468326568604
192,Lloyds Banking Group PLC,194,0.292,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,0.999730110168457
193,SSE,195,-0.173,SSE cuts gas prices by 4.1% to become fifth of 'Big Six' providers to slash energy ...,-0.49452564120292664
194,Rolls-Royce,196,0.099,Silicon Fen' champion brings exacting approach to Rolls-Royce,0.9999336004257202
195,Tesco PLC,197,0.364,Tesco Said to Discuss Central and Eastern European Unit Sale,0.9999397397041321
196,Glencore,198,0.199,Glencore launches refinancing of credit line,0.9998671412467957
197,Apple,199,0.023,Should You Follow Berkshire Hathaway Into Apple Stock?,0.999848484992981
198,Friends Life,200,0.516,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0.9996833801269531
199,Shire,201,0.291,FDA approves Shire's Vyvanse for binge-eating disorder,0.9999397993087769
200,Entertainment One,202,0.138,Entertainment One dispels ITV takeover rumours,0.9999387860298157
201,Tesco PLC,203,-0.077,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",-0.10790455341339111
202,BG,204,-0.564,Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover,-0.28157511353492737
203,BAE Systems,205,-0.069,BAE Systems banks on US defence spending to fix sales slide,-0.4097382426261902
204,National Grid,206,-0.334,UK Christmas power demand to be lowest in 16 years Ã¢â‚¬â€œ National Grid,-0.4238778352737427
205,Compass Group,207,0.426,CompaniesCompass serves up half year profit rise,0.9999517798423767
206,Hargreaves Lansdown,208,-0.15,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,0.5935900211334229
207,InterContinental Hotels Group,209,0.631,InterContinental Hotels Group share price climbs on $1.5bn special dividend,0.9998130202293396
208,AstraZeneca,210,0.21,AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma,0.9999529123306274
209,Amazon,211,0.349,Amazon to attack UK grocery market with Morrisons deal,0.9993953108787537
210,Tesco PLC,212,-0.265,Tesco made a bit of a crucial error in this promotion for Ramadan...,-0.43594375252723694
211,Weir Group,213,-0.553,"Falling oil prices hurt Hunting, Weir Group",-0.5292477607727051
212,Shire,214,0.195,Morning Agenda: Shire's Deal for NPS,0.9998602867126465
213,AstraZeneca,215,0.549,AstraZeneca wins FDA approval for key new lung cancer pill,0.9999436736106873
214,Lloyds,216,-0.84,FCA set to fine Lloyds record Ã‚Â£100m over PPI,-0.43133610486984253
215,Barclays,217,0.1,"Barclays's Next CEO Should Be Investment Banker, Aberdeen Says",0.9999251365661621
216,Barclays,218,-0.971,RBS and Barclays shares temporarily suspended amid heavily losses,-0.386848509311676
217,Shire,219,0.235,Shire to buy NPS for $5.2 billion to boost rare disease drugs,0.9999404549598694
218,Tesco PLC,220,-0.168,Tesco's boardroom clearout continues,-0.5213128924369812
219,BHP Billiton,221,-0.2,BHP Billiton says no settlement yet on Brazil dam disaster,-0.4953073263168335
220,ARM Holdings plc,222,0.352,Arm buoyed by race to build the internet of things,0.9999238848686218
221,AstraZeneca,223,-0.391,AstraZeneca diabetes drug combination faces delay after FDA rebuff,-0.45392468571662903
222,Morrisons,224,0.389,Amazon's grocery deal with Morrisons is only the beginning,0.9999275207519531
223,BAE Systems,225,0.39,BAE Systems's sales boosted by European Typhoon and currencies,0.9999501705169678
224,Aberdeen Asset Management,226,-0.612,CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows,-0.2699008882045746
225,JP Morgan,227,-0.1,Barclays CEO poaches risk head from JP Morgan,-0.2610517740249634
226,BP,228,0.48,BP signs $12 billion energy deal in Egypt,0.9998207688331604
227,Baxalta,229,0.23,Shire says internal synergy goals from Baxalta deal higher,0.9999250769615173
228,Essence Digital,230,0.299,WPP wins race for 'programmatic buying' agency Essence Digital,0.9999558329582214
229,Baxalta,231,0.75,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.9999545812606812
230,AstraZeneca,232,-0.064,AstraZeneca investment eats into profit,-0.23125068843364716
231,Inovio,233,0.316,"AstraZeneca bags another cancer drug deal, this time with Inovio",0.9998587369918823
232,Centrica PLC,234,-0.429,CompaniesCentrica shares drop 7% amid capital raise,-0.3964085578918457
233,Rio Tinto,235,-0.665,Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,-0.4970428943634033
234,Tullow Oil,236,0.402,UPDATE 1-Britain's Tullow says makes new oil find in Kenya,0.9997128248214722
235,National Grid,237,0.279,Britain's power supplies enough to meet winter demand - National Grid,0.999915361404419
236,Lloyds Banking Group PLC,238,0.434,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,0.9999298453330994
237,Berkshire Hathaway Inc.,239,0.189,UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake,0.9999170899391174
238,EasyJet,240,0.315,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",0.9999586939811707
239,Barclays,241,0.231,PRESS: US High-Frequency Lawsuit Against Barclays Dismissed - Reuters,0.9998427033424377
240,Shell,242,-0.1,Shell CEO van Beurden's remuneration fell in 2015,-0.3616541028022766
241,Aberdeen Asset Management,243,-0.364,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",-0.4855640232563019
242,Kraft Heinz,244,-0.179,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",-0.5144595503807068
243,Shell,245,-0.035,Shell seeks to remove Greenpeace activists from oil rig,-0.42064759135246277
244,BP,246,-0.121,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.4917878210544586
245,Pearson,247,0.386,Pearson Forecasts Rising Earnings as Reorganization Pays Off,0.9998303651809692
246,Morrisons,248,-0.113,Morrisons faces festive sales test,-0.3778298795223236
247,Friends Life,249,-0.09,Aviva shuts Friends Life head office in rapid integration move,-0.43149325251579285
248,Tesco,250,-0.323,Tesco to pay Ã‚Â£8m to settle class-action lawsuit after accounting scandal,-0.4494779706001282
249,Lehman,251,0.164,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,0.9999378323554993
250,Royal Mail,252,-0.109,CompaniesRoyal Mail stake sale delivers Ã‚Â£750m for taxpayer,-0.2643301784992218
251,ICE,253,0.056,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,0.6028944253921509
252,CaixaBank,254,0.185,Spain's Caixabank launches new takeover bid for Banco BPI,0.9999324679374695
253,Aviva plc,255,-0.373,Former Aviva Investors analyst Mothahir Miah banned and fined Ã‚Â£139000 by FCA ...,-0.4517907202243805
254,ARM Holdings plc,256,0.178,ARM shrugs off smartphone slowdown as newer designs win share,0.9998509883880615
255,Petrofac,257,-0.446,UPDATE 1-Petrofac posts net loss hurt by Shetland Islands project costs,-0.6022219061851501
256,Kingfisher,258,0.304,Do it for me' trend underpins UK sales growth at Kingfisher,0.9998966455459595
257,RBS,259,0.2,RBS invites pitches for broker role ahead of privatisation - sources,0.9999505877494812
258,Bunzl,260,0.247,Bunzl delivers small profit increase for 2014,0.9998688101768494
259,AB InBev,261,-0.018,AB InBev Holds Talks With Regulators About California Deals,-0.2527354061603546
260,Worldpay,262,-0.452,CompaniesMorrison evicted from FTSE 100 as Worldpay joins,-0.2647587060928345
261,Barclays,263,-0.196,Barclays denies deferred prosecution offer from SFO,-0.08214201033115387
262,Kingfisher,264,-0.377,LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks,-0.27551496028900146
263,Serco,265,0.122,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",0.9999401569366455
264,Tesco PLC,266,0.211,Tesco chief excutive Dave Lewis sees 'encouraging signs' despite profits tumble,0.9998759627342224
265,EasyJet,267,0.188,"EasyJet ""Sneakairs"": Airline is testing smart shoes to help customers explore destinations",0.9999584555625916
266,Coca-Cola FEMSA,268,0.293,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,0.9999160766601562
267,SSE,269,-0.31,SSE faces profiteering accusations despite 5.3% cut in gas charges,-0.15901482105255127
268,Royal Bank of Scotland Group plc,270,0.643,CompaniesRBS pulls a surprise: a 27% jump in profits,0.9995619058609009
269,Chevron,271,0.067,"Shell, Chevron Await LNG's Return From `Pause Mode'",0.9999609589576721
270,Barclays,272,0.285,Barclays settles with US investors over Libor manipulation,0.9989994764328003
271,Tesco PLC,273,0.19,"Tesco says recovery on track, asks investors to be patient",0.9998350739479065
