id,company,title,sentiment,Predicted Sentiment Score
93,AstraZeneca,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,-0.666,0.43255096673965454
94,Kingfisher,Retail giant Kingfisher reports 'solid' start to the year,0.368,0.9594626426696777
95,Unilever,Unilever Continues to Battle Soft Demand,-0.264,0.4387747049331665
96,Frensillo Production,Fresnillo Production Surges But Profit Hit By Lower Prices,0.21,0.342899888753891
97,BG,Helge Lund moves to BG a month early,0.05,0.8992509841918945
98,Kipa,"Tesco set to sell Kipa, Giraffe businesses - Sky News",-0.192,0.7239956259727478
99,Royal Bank of Scotland Group plc,"RBS warns of higher misconduct charges, obstacles ahead",-0.383,0.1889638751745224
100,DBS,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",0.307,0.9897700548171997
101,Standard Life,Standard Life slips as Greek worries peg back Britain's FTSE,-0.407,0.2343769073486328
102,Glencore,Glencore sells agri unit stake for $2.5 billion to Canadian pension fund,0.466,0.9986445307731628
103,Royal Bank of Scotland Group plc,FCA bans former RBS Libor submitter,-0.285,-0.14705204963684082
104,SABMiller,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,0.127,0.8858093023300171
105,Standard Chartered PLC,Standard Chartered Not Raising Capital Yet As Dividend Cut,-0.158,0.5733441114425659
106,Tesco PLC,"Tesco set to sell Kipa, Giraffe businesses - Sky News",0.23,0.7239956259727478
107,United Utilities,United Utilities FY profit up 3.5%; to boost capex,0.42,0.7215803861618042
108,Tesco PLC,Sale of Tesco's Clubcard business to WPP on the verge of collapse,-0.518,0.669274628162384
109,RBS,UK's Osborne may sell state-owned RBS shares at a loss -paper,-0.3,-0.26963502168655396
110,Tesco PLC,Tesco Sale Is Asia's Biggest Private-Equity Deal,0.378,0.7329761385917664
111,Wolseley,Industry NewsWolseley confident in reslilience amid mixed markets,0.287,0.6554834246635437
112,Nikkei,Japan's Nikkei lands Financial Times in $1.3 billion deal,0.262,0.834968090057373
113,Royal Mail,UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG,0.0,0.840201199054718
114,BAT,UK regulators license BAT e-cigarette as quit-smoking medicine,0.461,0.4425038695335388
115,Aviva plc,"Aviva, M&G suspend property funds as investors panic",-0.782,0.13569457828998566
116,British American Tobacco plc,British American Tobacco drops and sues PwC over pollution scandal,-0.528,-0.21621114015579224
117,Aberdeen Asset Management,Aberdeen's shares slide as net outflows accelerate,-0.434,-0.14749640226364136
118,Hikma,REFILE-Hikma and Barclays help Britain's FTSE to climb higher,0.452,0.983985960483551
119,Britvic,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",-0.13,0.5042520761489868
120,Standard Chartered PLC,Standard Chartered share price: Aberdeen CEO would back potential capital increase,0.167,0.8835862278938293
121,Severn Trent,Severn Trent share price jumps as Canadian investor renews pursuit of utility,0.433,0.8037416934967041
122,London Stock Exchange Group,France raises concerns over proposed LSE-Deutsche Boerse deal,-0.347,0.6743269562721252
123,Brunzl,Bunzl blames weakness in United States for first-half revenue slowdown,-0.335,0.4231742024421692
124,Tesco PLC,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,-0.498,0.4075891673564911
125,Barclays,Tushar Morzaria is bookies' favourite to be new Barclays chief executive,0.0,0.8083677291870117
126,G4S,CompaniesG4S claims 'positive' start to the year,0.303,0.8804534077644348
127,Halliburton,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.042,0.0055549293756484985
128,BAE Systems,Shares in BAE Systems hit 10-month high on rating upgrade,0.905,0.258565217256546
129,Alior Bank,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,0.233,0.9498769640922546
130,Shell,Royal Dutch Shell plc: Shell Updates on Alaska Exploration,0.0,0.6953630447387695
131,Diageo,City spirits sink after Diageo comes up short with sales slide,-0.521,-0.14401505887508392
132,Tesco PLC,Tesco sales recover as focus returns to core business,0.35,0.8571706414222717
133,London Stock Exchange Group,London Stock Exchange unit in talks to operate Plato venue,0.144,0.4909028112888336
134,IBM,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,0.345,0.9998265504837036
135,GSK,GSK joins China trade push as UK trumpets healthcare deals,0.294,0.9872215986251831
136,Barclays,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",0.0,0.4999416768550873
137,HSBC,HSBC marks muted 150th birthday party with grain of rice sculptures,0.0,0.44117918610572815
138,Barclays,Barclays appoints JPMorgan's Paul Compton as new COO,0.036,0.9375824332237244
139,Standard Chartered PLC,Standard Chartered Shares Jump Most Since '12 After Upgrades,0.989,0.605903685092926
140,Shell,Italy Probes Shell's Role in Purchase of Nigerian Oil Block,-0.231,0.08890841156244278
141,Shropshire,Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers,-0.4,0.07970134168863297
142,Aviva plc,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,0.138,0.9938949346542358
143,Randgold Resources,Randgold profit hit by poor gold price but dividend still increases,-0.052,0.06526079028844833
144,AstraZeneca,AstraZeneca does US$770mln anaesthetic deal,0.365,0.566213846206665
145,AB InBev,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,-0.369,0.7395229935646057
146,ITV,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,0.611,0.9137341380119324
147,Diageo,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,0.182,0.8807059526443481
148,Pearson,Pearson to cut 4000 jobs as it warns on profits,-0.664,-0.18452362716197968
149,Takeda,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",-0.198,0.9442645311355591
150,London Stock Exchange Group,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,0.105,0.9752823114395142
151,Intertek Group,"Intertek Hit By Pound Strength, Oil & Gas Slowdown; Still Ups Dividend",-0.391,0.08750026673078537
152,Tesco PLC,Tesco says recovery plan working after profit collapse,0.213,0.6123823523521423
153,BP,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,0.208,0.9945412278175354
154,Shell,Shell and BG Shareholders to Vote on Deal at End of January,0.0,0.9010803699493408
155,Starwood,"Intercontinental Hotels, Starwood held early deal talks - FT",0.145,0.9165357351303101
156,Berkshire Hathaway,Warren Buffett's Berkshire Hathaway buys stake in Apple,0.481,0.9923884272575378
157,Baxalta,Sunday Papers: Shire told to raise its offer by Baxalta investors,0.343,0.6637757420539856
158,Barratt,"Britain's FTSE bounces back, Mondi and Barratt lead",0.558,0.8771612048149109
159,Glencore,Glencore slashes 2015 capex budget as annual profits slip 2%,-0.37,-0.18928490579128265
160,AB InBev,Anheuser-Busch InBev Increases Offer for Rival SABMiller,0.123,0.9958359003067017
161,Home Retail Group,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,0.0,0.9739415049552917
162,Barclays,"UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case",0.212,0.7309510707855225
163,Barclays,MarketsUS industrials lag as Barclays dims view,-0.34,0.44117918610572815
164,RSA Insurance,Zurich Insurance Considering Offer for UK Rival RSA Insurance,0.376,0.9081615209579468
165,Mylan,US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline,-0.86,0.610022783279419
166,AstraZeneca,AstraZeneca sells US gout drug rights to Ironwood for up to $265 million,0.335,0.9618763327598572
167,Shell,"Shell, Chevron Await LNG's Return From `Pause Mode'",0.057,0.859966516494751
168,London Stock Exchange Group,Companies raise less money on London Stock Exchange in 2015,-0.199,0.0054632737301290035
169,BG Group,Shell and BG Shareholders to Vote on Deal at End of January,0.0,0.8437711596488953
170,Glencore,Glencore shares rally after miner hits back,0.407,0.513793408870697
171,ABN Amro,ABN Amro: Bank that brought down RBS poised for return to the market,0.353,0.9118068814277649
172,AT&T,Verizon and AT&T accused of hurting rivals,-0.447,0.03045458346605301
173,ARM Holdings plc,ARM swings to profit in fourth quarter,0.549,0.8580309748649597
174,Johnson Matthey,Johnson Matthey profit falls but dividend rises,0.0,0.6786605715751648
175,Auto Trader,Auto Trader share price surges as company floats on LSE,0.655,0.9315193295478821
176,Hillshire Farms,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,0.1,0.96559739112854
177,Hargreaves Lansdown,Hargreaves Landown slides on trading update,-0.464,0.465227872133255
178,Asda,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.226,-0.27339667081832886
179,WPP,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",0.555,0.5917377471923828
180,BG Group,Shell Targets Gains From Brazil to LNG With Takeover of BG Group,0.566,0.8943608403205872
181,Barclays,Four former Barclays bankers jailed over Libor,-0.84,-0.05718391388654709
182,Tesco,Tesco Cut to Junk at Moody's on Concern Revival to Take Time,-0.623,0.24537160992622375
183,Glencore,LPC-Glencore launches refinancing of $8.45billion loan,0.193,0.9830389022827148
184,Ashtead,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0.514,0.9999477863311768
185,EasyJet,Easyjet targets business travellers with new perks,0.147,0.8645805716514587
186,BP,BP joins forces with Det Norske in Norway,0.24,0.7215436100959778
187,Baxalta,Shire proposes $30 bln all-share tie-up with Baxalta,0.269,0.9370042085647583
188,Tesco PLC,Tesco sales rise shows tentative recovery continues,0.256,0.8050673604011536
189,Valeant Pharmaceuticals International,Valeant Names Interim Leader as CEO Remains Hospitalized,0.0,0.9671761393547058
190,AstraZeneca,AstraZeneca weighing up Acerta bid to secure blood cancer drug,0.284,0.9691164493560791
191,BP,BP asks for lower fine in penalty phase of Gulf spill trial,-0.16,-0.21233424544334412
192,Shire,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,0.487,0.9523855447769165
193,Berkshire Hathaway Inc.,"Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited",0.156,0.9569260478019714
194,Lloyds Banking Group PLC,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,0.292,0.8372423648834229
195,SSE,SSE cuts gas prices by 4.1% to become fifth of 'Big Six' providers to slash energy ...,-0.173,0.04542233794927597
196,Rolls-Royce,Silicon Fen' champion brings exacting approach to Rolls-Royce,0.099,0.41347265243530273
197,Tesco PLC,Tesco Said to Discuss Central and Eastern European Unit Sale,0.364,0.945178210735321
198,Glencore,Glencore launches refinancing of credit line,0.199,0.9596174955368042
199,Apple,Should You Follow Berkshire Hathaway Into Apple Stock?,0.023,0.9814611077308655
200,Friends Life,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0.516,0.6778494715690613
201,Shire,FDA approves Shire's Vyvanse for binge-eating disorder,0.291,0.7271641492843628
202,Entertainment One,Entertainment One dispels ITV takeover rumours,0.138,0.5335837006568909
203,Tesco PLC,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",-0.077,0.4864223599433899
204,BG,Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover,-0.564,-0.01592029072344303
205,BAE Systems,BAE Systems banks on US defence spending to fix sales slide,-0.069,-0.1922377049922943
206,National Grid,UK Christmas power demand to be lowest in 16 years â€“ National Grid,-0.334,-0.16854290664196014
207,Compass Group,CompaniesCompass serves up half year profit rise,0.426,0.9837402105331421
208,Hargreaves Lansdown,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,-0.15,0.5690725445747375
209,InterContinental Hotels Group,InterContinental Hotels Group share price climbs on $1.5bn special dividend,0.631,0.2683577239513397
210,AstraZeneca,AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma,0.21,0.9615404009819031
211,Amazon,Amazon to attack UK grocery market with Morrisons deal,0.349,0.8327648043632507
212,Tesco PLC,Tesco made a bit of a crucial error in this promotion for Ramadan...,-0.265,0.4075891673564911
213,Weir Group,"Falling oil prices hurt Hunting, Weir Group",-0.553,-0.22369210422039032
214,Shire,Morning Agenda: Shire's Deal for NPS,0.195,0.7839186787605286
215,AstraZeneca,AstraZeneca wins FDA approval for key new lung cancer pill,0.549,0.9999797344207764
216,Lloyds,FCA set to fine Lloyds record Â£100m over PPI,-0.84,-0.04772733151912689
217,Barclays,"Barclays's Next CEO Should Be Investment Banker, Aberdeen Says",0.1,0.9974506497383118
218,Barclays,RBS and Barclays shares temporarily suspended amid heavily losses,-0.971,0.049393218010663986
219,Shire,Shire to buy NPS for $5.2 billion to boost rare disease drugs,0.235,0.9927441477775574
220,Tesco PLC,Tesco's boardroom clearout continues,-0.168,0.2924259603023529
221,BHP Billiton,BHP Billiton says no settlement yet on Brazil dam disaster,-0.2,0.41210123896598816
222,ARM Holdings plc,Arm buoyed by race to build the internet of things,0.352,0.7136885523796082
223,AstraZeneca,AstraZeneca diabetes drug combination faces delay after FDA rebuff,-0.391,0.012918084859848022
224,Morrisons,Amazon's grocery deal with Morrisons is only the beginning,0.389,0.566213846206665
225,BAE Systems,BAE Systems's sales boosted by European Typhoon and currencies,0.39,0.8592387437820435
226,Aberdeen Asset Management,CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows,-0.612,0.498843252658844
227,JP Morgan,Barclays CEO poaches risk head from JP Morgan,-0.1,-0.06480409950017929
228,BP,BP signs $12 billion energy deal in Egypt,0.48,0.9511604309082031
229,Baxalta,Shire says internal synergy goals from Baxalta deal higher,0.23,0.9034733772277832
230,Essence Digital,WPP wins race for 'programmatic buying' agency Essence Digital,0.299,0.8995541930198669
231,Baxalta,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.75,0.9645721912384033
232,AstraZeneca,AstraZeneca investment eats into profit,-0.064,0.3001583516597748
233,Inovio,"AstraZeneca bags another cancer drug deal, this time with Inovio",0.316,0.9852755069732666
234,Centrica PLC,CompaniesCentrica shares drop 7% amid capital raise,-0.429,0.09425987303256989
235,Rio Tinto,Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,-0.665,-0.19502951204776764
236,Tullow Oil,UPDATE 1-Britain's Tullow says makes new oil find in Kenya,0.402,0.6992407441139221
237,National Grid,Britain's power supplies enough to meet winter demand - National Grid,0.279,0.8787022233009338
238,Lloyds Banking Group PLC,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,0.434,0.9812530279159546
239,Berkshire Hathaway Inc.,UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake,0.189,0.7086892127990723
240,EasyJet,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",0.315,0.9732143878936768
241,Barclays,PRESS: US High-Frequency Lawsuit Against Barclays Dismissed - Reuters,0.231,0.814816951751709
242,Shell,Shell CEO van Beurden's remuneration fell in 2015,-0.1,0.14697474241256714
243,Aberdeen Asset Management,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",-0.364,0.016403039917349815
244,Kraft Heinz,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",-0.179,0.5042520761489868
245,Shell,Shell seeks to remove Greenpeace activists from oil rig,-0.035,0.17882615327835083
246,BP,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.121,0.25558242201805115
247,Pearson,Pearson Forecasts Rising Earnings as Reorganization Pays Off,0.386,0.6594328880310059
248,Morrisons,Morrisons faces festive sales test,-0.113,-0.22361691296100616
249,Friends Life,Aviva shuts Friends Life head office in rapid integration move,-0.09,0.45264920592308044
250,Tesco,Tesco to pay Â£8m to settle class-action lawsuit after accounting scandal,-0.323,0.08310618251562119
251,Lehman,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,0.164,0.9380984902381897
252,Royal Mail,CompaniesRoyal Mail stake sale delivers Â£750m for taxpayer,-0.109,0.7931658625602722
253,ICE,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,0.056,0.4522711932659149
254,CaixaBank,Spain's Caixabank launches new takeover bid for Banco BPI,0.185,0.9974324107170105
255,Aviva plc,Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...,-0.373,0.2300587296485901
256,ARM Holdings plc,ARM shrugs off smartphone slowdown as newer designs win share,0.178,0.856861412525177
257,Petrofac,UPDATE 1-Petrofac posts net loss hurt by Shetland Islands project costs,-0.446,-0.46596136689186096
258,Kingfisher,Do it for me' trend underpins UK sales growth at Kingfisher,0.304,0.36912208795547485
259,RBS,RBS invites pitches for broker role ahead of privatisation - sources,0.2,0.9614139199256897
260,Bunzl,Bunzl delivers small profit increase for 2014,0.247,0.822493314743042
261,AB InBev,AB InBev Holds Talks With Regulators About California Deals,-0.018,0.6290249228477478
262,Worldpay,CompaniesMorrison evicted from FTSE 100 as Worldpay joins,-0.452,0.786831259727478
263,Barclays,Barclays denies deferred prosecution offer from SFO,-0.196,0.6447104215621948
264,Kingfisher,LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks,-0.377,0.4804219603538513
265,Serco,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",0.122,0.9998053312301636
266,Tesco PLC,Tesco chief excutive Dave Lewis sees 'encouraging signs' despite profits tumble,0.211,0.8926843404769897
267,EasyJet,"EasyJet ""Sneakairs"": Airline is testing smart shoes to help customers explore destinations",0.188,0.7861226201057434
268,Coca-Cola FEMSA,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,0.293,0.9849050045013428
269,SSE,SSE faces profiteering accusations despite 5.3% cut in gas charges,-0.31,-0.29534122347831726
270,Royal Bank of Scotland Group plc,CompaniesRBS pulls a surprise: a 27% jump in profits,0.643,0.9079223275184631
271,Chevron,"Shell, Chevron Await LNG's Return From `Pause Mode'",0.067,0.7872282862663269
272,Barclays,Barclays settles with US investors over Libor manipulation,0.285,0.060670576989650726
273,Tesco PLC,"Tesco says recovery on track, asks investors to be patient",0.19,0.6642018556594849
274,Dunelm Group plc,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",0.14,0.995043158531189
275,Royal Bank of Scotland Group plc,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",-0.69,0.538600742816925
276,National Grid,National Grid profit up 15%; gas sale on track,0.368,0.29489150643348694
277,AstraZeneca,AstraZeneca chases Acerta to secure next cancer drug winner,0.519,0.9993389248847961
278,Prudential,"Prudential capital ratio beats forecasts, confirms UK head",0.337,0.9978457689285278
279,Prudential Financial,CompaniesEx-City watchdog Turner joins Prudential board,0.0,0.9560003876686096
280,Statoil,"Militants fire rockets at Algerian BP/Statoil gas plant, no casualties",-0.444,0.2321990430355072
281,Shell,BG Group Still Happy With Shell's $70 Billion Offer,0.235,0.9978005290031433
282,AstraZeneca,CompaniesAstraZeneca wins nod for 'blockbuster' hopeful,0.499,0.9629436731338501
283,Shell,Shell to Lay Off Another 2200 Staff,-0.222,0.45155617594718933
284,Carnival Corporation,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,0.099,0.915337860584259
285,Diageo,CompaniesDiageo stays neutral on India boardroom turmoil,0.0,0.6605624556541443
286,Tesco,Tesco to 'axe 10000 jobs' in 'simplification' drive to cut costs by 30 per cent,0.2,0.8990665674209595
